target,model,feature,importance
p,FCNN,sg_cec_0-5cm,-0.013684210526315781
p,FCNN,sg_cec_5-15cm,-0.0010526315789473662
p,FCNN,NDVI,-0.02631578947368422
p,FCNN,EVI,0.006315789473684208
p,FCNN,SAVI,-0.01894736842105264
p,FCNN,MSAVI,-0.03157894736842106
p,FCNN,NDRE,-0.0336842105263158
p,FCNN,CHL_re,-0.0231578947368421
p,FCNN,BSI,-0.004210526315789475
p,FCNN,BI,-0.023157894736842117
p,FCNN,NDWI,-0.01157894736842105
p,FCNN,NDMI,-0.0336842105263158
p,FCNN,crops_broccoli,0.0
p,FCNN,crops_cabbage,0.03684210526315789
p,FCNN,"crops_cabbage,custom_chinese",0.0
p,FCNN,"crops_cabbage,custom_chinese_cabbage",0.0010526315789473662
p,FCNN,crops_carrot,0.01473684210526316
p,FCNN,crops_corn,-0.0021052631578947325
p,FCNN,crops_lettuce,0.0021052631578947325
p,FCNN,"crops_lettuce,custom_chinese",-0.0010526315789473606
p,FCNN,"crops_lettuce,custom_follow_through",0.0
p,FCNN,"crops_lettuce,custom_iceberg",0.0
p,FCNN,"crops_lettuce,custom_iceberg_lettuce",0.012631578947368405
p,FCNN,crops_potato,0.01578947368421052
p,FCNN,crops_radish,0.010526315789473679
p,FCNN,crops_tomato,0.0
k,XGBoost,B01,0.06673483550548553
k,XGBoost,B02,0.045722924172878265
k,XGBoost,B03,0.03525792434811592
k,XGBoost,B04,0.02210129238665104
k,XGBoost,B05,0.016718976199626923
k,XGBoost,B06,0.015528183430433273
k,XGBoost,B07,0.013078112155199051
k,XGBoost,B08,0.012968484312295914
k,XGBoost,B8A,0.011334762908518314
k,XGBoost,B09,0.032382458448410034
k,XGBoost,B11,0.033451639115810394
k,XGBoost,B12,0.022762993350625038
k,XGBoost,B01_std,0.03415475785732269
k,XGBoost,B02_std,0.02478894591331482
k,XGBoost,B03_std,0.011397336609661579
k,XGBoost,B04_std,0.014473386108875275
k,XGBoost,B05_std,0.017072424292564392
k,XGBoost,B06_std,0.020739229395985603
k,XGBoost,B07_std,0.011677620001137257
k,XGBoost,B08_std,0.009852084331214428
k,XGBoost,B8A_std,0.007248804438859224
k,XGBoost,B09_std,0.007866558618843555
k,XGBoost,B11_std,0.005188832990825176
k,XGBoost,B12_std,0.005097525659948587
k,XGBoost,temperature_c,0.014282680116593838
k,XGBoost,humidity_percent,0.016319725662469864
k,XGBoost,altitude_m,0.018870778381824493
k,XGBoost,elevation_m,0.01324544195085764
k,XGBoost,slope_deg,0.0
k,XGBoost,aspect_deg,0.005809170193970203
k,XGBoost,twi,0.0
k,XGBoost,curvature,0.0
k,XGBoost,northness,0.0058953179977834225
k,XGBoost,eastness,0.006163635291159153
k,XGBoost,sg_phh2o_0-5cm,0.011532211676239967
k,XGBoost,sg_phh2o_5-15cm,0.010923963971436024
